"distance_km","n_bridges","taxi_fare"
20,3,179.67
10,10,201.96
15,4,158.13
19,5,196.35
18,1,137.32
16,7,201.02
14,8,209.3
18,8,226.07
5,2,79.58
9,2,94.22
7,6,140.37
5,8,158.79
13,8,190.25
15,9,220.25
3,1,44.9
17,3,158.36
6,9,166.22
15,1,105.55
17,0,105.52
20,4,192.44
9,6,145.12
12,5,143.48
9,10,197.73
5,2,75.97
17,7,216.03
15,1,115.56
8,9,178.34
10,8,170.57
16,3,151.57
18,1,132.62
4,6,118.55
8,6,143.67
4,9,160.16
6,7,138.76
3,1,47.77
4,9,147.77
12,9,199.97
4,5,99.67
10,0,63.64
5,0,44.66
19,3,168.43
3,8,134.88
11,10,213.91
16,5,172.23
19,7,213.34
16,10,242.45
20,5,195.85
5,7,142
8,9,177.56
10,0,77.45
14,4,151.95
15,5,165.97
6,8,161.59
17,1,132.39
16,4,162.9
14,0,99.74
5,0,47.56
15,8,208.9
5,7,122.03
13,0,93.78
14,3,135.85
5,10,175.33
12,3,128.12
13,3,137.8
13,5,154.23
18,2,154.36
12,10,218.01
7,1,74.17
8,6,144.64
18,0,125.74
11,8,179.81
15,7,195.09
20,8,241.31
13,0,88.21
11,5,143.06
11,6,161.11
4,8,145.96
20,1,149.59
6,4,98.51
12,7,172.55
5,1,64.31
7,8,161.66
6,6,128.9
14,6,175.96
4,0,33.13
8,0,65.25
3,1,44.52
7,0,55.68
16,5,179.7
3,10,166.2
16,4,168.76
14,10,226.36
10,3,116.43
9,5,139.76
7,9,168.5
16,9,223.63
6,1,58.41
7,1,62.93
14,0,98.86
11,8,187.44
13,8,201.9
10,2,105.2
14,5,158.99
14,2,132.82
12,5,148.5
8,5,127.97
16,3,147.6
18,8,225.95
15,0,105.35
12,3,126.04
15,1,117.39
20,3,173.99
15,7,193.32
20,9,249.23
20,5,192.03
16,10,238.78
5,0,42.19
6,5,127.66
19,7,213.37
11,1,94.12
9,8,165.78
8,4,107.88
11,4,133.06
19,8,228.02
12,5,151.49
19,1,139.57
8,10,189.74
8,2,79.39
3,7,117.99
11,9,198.31
9,9,188.05
5,10,172.28
12,5,151.5
17,1,134.55
3,10,168.98
15,3,138.56
15,5,168.97
19,6,211.91
7,9,171.39
5,6,122.26
19,4,180.11
14,5,159.51
13,1,103.5
8,2,88.37
6,9,165.64
17,8,225.51
13,10,220.34
19,8,230.55
13,4,147.64
6,5,110.75
17,10,246.32
14,6,169.52
10,4,131.75
5,2,69.27
3,9,147.39
15,5,163.93
4,1,51.47
4,7,125.9
6,6,126.1
20,1,153.29
14,2,123.71
20,6,207.68
9,0,69.23
17,1,127.87
7,8,163.16
11,9,203.95
6,10,176.03
16,2,138.55
13,2,118.88
6,2,80.53
6,2,75.47
4,2,68.26
9,1,73.65
14,7,197.1
6,3,93.39
3,4,83.82
4,8,135.98
6,3,92.39
17,8,222.67
10,0,74.47
4,7,130.18
19,10,255.87
12,8,192.16
17,8,221.83
8,3,100.24
17,6,188.49
5,4,99.65
7,3,97.99
13,8,192.74
19,0,121.32
14,4,151.42
10,3,111.95
19,1,142.64
20,6,206.68
14,0,94.18
4,2,69.39
11,10,212.32
9,1,84.14
20,0,142.67
11,9,198.08
7,5,112.5
16,0,112
5,10,179.77
8,1,84.77
8,8,160.3
15,1,112.32
11,4,129.32
3,2,53.76
16,7,198.59
8,8,165.67
