"distance_km","n_bridges","taxi_fare_2"
50,3,808.56
27,10,569.53
38,4,641.45
46,5,773.49
44,1,678.06
40,7,710.41
36,8,694.67
44,8,782.58
16,2,326.28
24,2,407.06
21,6,449.57
15,8,412.3
33,8,609.17
37,9,697.82
10,1,194
42,3,685.54
18,9,431.74
37,1,534.15
42,0,591.39
49,4,809.8
25,6,481.4
31,5,527.28
25,10,547.42
15,2,300.22
43,7,782.43
38,1,581.54
22,9,488.14
27,8,519.55
40,3,654.9
44,1,662.4
13,6,324.83
21,6,440.57
14,9,395.53
19,7,408.87
11,1,217.57
12,9,326.24
31,9,606.23
14,5,303.24
27,0,381.79
14,0,236.54
47,3,749.09
10,8,302.58
29,10,617.37
41,5,683.1
47,7,789.48
41,10,780.49
49,5,793.83
16,7,397.66
22,9,485.53
28,0,441.83
36,4,612.83
38,5,640.24
18,8,443.64
42,1,653.64
41,4,679.35
37,0,562.15
15,0,260.19
37,8,687.35
16,7,331.1
33,0,506.27
35,3,572.49
16,10,426.78
31,3,530.73
33,3,571
34,5,585.09
44,2,707.54
31,10,639.04
20,1,351.58
22,6,457.81
44,0,666.81
28,8,544.35
38,7,682.65
48,8,849.35
33,0,487.7
30,5,531.86
30,6,564.71
13,8,361.52
49,1,748.96
18,4,342.71
31,7,569.5
15,1,288.69
19,8,437.87
17,6,375.33
37,6,652.19
14,0,218.09
21,0,343.18
10,1,192.74
19,0,303.26
40,5,694
11,10,366.33
40,4,684.88
35,10,682.86
26,3,461.76
24,5,476.87
19,9,433.34
41,9,745.09
18,1,291.02
19,1,300.11
36,0,545.2
30,8,597.8
34,8,662.01
27,2,465.67
37,5,622.95
35,2,589.73
30,5,530
22,5,429.58
40,3,641.67
44,8,782.16
37,0,560.82
30,3,509.79
39,1,601.62
50,3,789.62
38,7,676.72
50,9,876.44
49,5,781.08
41,10,768.26
15,0,242.31
17,5,398.53
48,7,803.57
29,1,464.06
25,8,495.6
23,4,403.94
29,4,511.87
48,8,825.05
31,5,553.97
47,1,707.58
23,10,512.79
22,2,349.63
10,7,273.63
29,9,592.69
25,9,542.51
15,10,402.61
31,5,554
42,1,660.84
11,10,375.6
39,3,617.54
39,5,664.24
46,6,798.02
21,9,470.95
15,6,345.21
47,4,760.71
36,5,610.68
34,1,525.33
22,2,379.56
18,9,429.79
43,8,786.7
33,10,654.79
47,8,819.5
34,4,590.45
18,5,356.15
43,10,801.39
36,6,616.73
27,4,499.51
15,2,277.9
10,9,316.98
39,5,647.43
13,1,237.88
13,7,322
18,6,380
50,1,775.32
37,2,587.37
50,6,819.92
25,0,392.45
43,1,652.56
21,8,470.85
29,9,611.49
18,10,437.11
40,2,638.82
33,2,535.27
18,2,337.43
18,2,320.55
12,2,252.55
24,1,365.82
35,7,667.34
17,3,338.97
10,4,241.74
13,8,328.26
17,3,335.65
44,8,791.25
26,0,403.9
13,7,336.27
46,10,835.24
31,8,607.53
43,8,774.42
21,3,377.81
41,6,689.96
15,4,324.51
19,3,362.31
34,8,631.46
46,0,660.08
36,4,611.07
27,3,460.82
46,1,703.79
48,6,788.59
35,0,515.61
13,2,270.29
28,10,598.06
24,1,400.8
50,0,767.23
30,9,605.93
20,5,369.99
39,0,591.01
16,10,441.57
22,1,394.89
22,8,455.35
37,1,556.74
28,4,485.41
10,2,196.19
39,7,688.31
23,8,487.22
37,10,699.98
24,0,406.55
28,6,529.62
33,4,564.74
18,3,347.43
20,3,368.56
45,10,828.02
14,9,402.15
43,10,798.74
33,8,610.75
19,1,327.79
33,3,544.73
40,8,720.17
14,9,363.98
37,6,660.43
14,1,249.39
44,8,791.74
26,0,400.48
32,7,590.12
29,9,608.75
15,5,325.92
44,6,766.22
42,7,721.98
37,0,551.01
19,1,317.96
49,7,832.14
38,0,592.23
33,3,549.66
49,8,857.66
47,3,731.86
13,5,291.06
12,9,366.97
48,4,794.88
16,3,330.73
47,0,677.29
16,4,358.75
22,3,411.25
11,2,225.6
26,6,510.55
35,6,611.43
20,3,351.56
10,7,292.74
21,5,396.02
43,8,772.85
39,7,717.47
31,5,538.49
17,4,330.92
37,3,606.7
27,7,514.74
33,0,496.25
28,4,509.09
48,9,870.54
28,4,501.76
35,9,646.23
33,4,565.19
38,8,715.97
48,8,852.2
11,3,239.14
23,8,449.5
42,8,756.91
18,10,460.61
26,9,548.69
42,1,646.36
10,6,282.47
36,2,570.05
33,5,601.65
34,8,651.06
34,0,497.36
39,10,766.72
40,10,778.07
13,9,378.36
39,6,657.06
45,3,709.46
39,7,707.53
37,2,590.66
50,9,889.22
43,10,838.89
48,5,779.72
21,10,462.3
33,2,538.11
11,6,279.69
28,4,502.69
22,10,495.81
19,1,355.18
17,5,356.14
44,8,776.84
50,2,769.51
17,4,354.94
23,5,443.46
28,4,471.62
26,5,483.93
44,4,731.4
45,0,670.58
28,9,587.03
40,4,661.8
37,1,573.13
40,3,655.24
49,4,804.89
50,7,833.3
50,0,739.5
33,3,548.94
47,5,766.62
49,7,822.48
49,5,796.54
34,7,636.8
18,7,397.76
12,4,260.23
26,5,486.45
10,5,241.45
50,8,883.69
40,10,752.73
42,5,710.84
16,10,424.77
43,5,722
31,10,661.14
46,10,831.62
49,5,823.18
41,8,742.47
36,2,563.47
49,10,884.97
25,7,513.2
20,8,441.62
11,5,262.42
24,3,426.29
18,10,466.83
22,5,426.9
21,0,313.19
22,0,328.4
40,4,652.47
27,6,506.09
38,10,731.68
48,4,786.06
30,0,453.48
17,9,405.29
33,4,575.11
37,7,674.13
25,6,503.36
49,9,844.76
30,4,525.31
11,10,374.3
34,1,542.86
43,2,661.51
37,4,632.99
16,5,330.92
49,10,879.2
47,5,795.81
15,0,245.65
42,3,688.43
48,10,867.63
36,10,680.35
40,9,731.27
28,1,431.67
12,1,216.74
11,4,252.96
26,0,401.7
17,6,370.35
20,5,428.38
18,6,367.21
17,6,367.78
46,5,769.24
12,9,376.43
26,4,469.33
22,5,446.59
27,5,473.33
23,7,495.7
19,3,343.64
25,9,529.85
30,3,491.36
10,9,326.01
11,8,348.78
37,8,722.33
43,10,785.85
41,6,717.29
41,1,650.83
42,7,737.07
47,5,774.73
41,9,753.43
27,8,554.97
33,9,666.96
42,6,734.31
48,5,796.8
14,10,391.47
17,7,397.48
41,3,653.76
14,10,391.81
35,3,594.45
35,10,696.63
45,7,785.62
37,1,570.17
44,3,717.97
19,10,486.02
15,10,396.96
31,5,554.83
37,3,606.74
35,0,521.32
49,7,823.02
36,9,687.96
21,9,487.83
43,5,744.15
41,1,601.36
43,9,775.46
32,9,627.33
10,10,315.05
29,0,434.74
49,9,858.34
41,1,619.16
37,3,573.17
44,10,819.2
21,4,388.52
22,9,514.81
15,1,277.94
34,2,526.2
43,2,675.48
41,0,605.09
35,7,655.32
14,0,236.8
45,4,725.64
48,10,878.58
29,8,576.29
17,9,419.53
26,8,562.3
49,2,750.06
50,7,844.94
31,0,450.81
10,3,227.39
21,10,507.36
36,0,512.93
48,8,836.25
36,6,622.28
32,2,541.63
37,1,594.37
49,4,795.02
39,8,735.44
23,10,508.99
26,8,546.26
22,9,483.22
46,6,784.81
26,1,415.51
10,1,191.82
13,6,326.19
18,2,304.44
37,9,698.24
28,3,482.57
27,8,539.95
33,6,599.57
11,8,317.22
36,10,728.28
38,3,630.71
40,1,660.49
32,7,588.07
12,0,220.22
33,10,693.47
30,4,528.51
28,0,415.75
38,2,588.91
26,1,419.47
47,0,717.64
19,10,477.26
28,2,431.92
42,10,777.49
48,3,759.86
41,10,752.13
25,1,416.42
45,9,777.08
29,8,576.15
16,7,370.13
33,8,622.63
16,5,339.75
22,4,416.72
42,9,777.94
41,0,610.62
44,0,627.13
13,7,312.41
23,10,499.96
30,2,503.43
17,4,338.35
22,2,384.05
35,10,666.62
21,6,421.97
14,4,308.44
45,1,683.33
38,10,730.27
44,4,718.92
49,5,824.16
48,2,734.78
10,3,238.14
26,7,529.48
20,8,430.16
31,2,507.82
41,3,661.83
12,2,255.44
48,6,821.72
24,1,391.96
26,10,566.04
49,5,795.2
31,0,471.03
23,9,490.56
35,2,547.5
14,2,249.69
46,6,792.54
31,6,586.72
43,10,795.81
46,2,699.07
25,8,516.68
12,1,257.63
24,2,438.62
26,9,522.2
34,6,606.65
37,3,629
18,7,403.43
50,10,923.96
11,5,269
21,2,375.07
22,5,431.36
48,8,888.44
34,1,545.81
23,9,487.9
32,7,590.94
16,10,429.55
28,1,419.48
15,2,254.93
12,9,335.17
26,5,478.78
32,1,522.58
30,9,599.89
34,9,662.44
25,3,437.03
50,9,873.42
44,7,788.43
10,9,307.55
33,3,546.57
16,10,418.78
28,1,455.98
35,0,554.11
21,0,341.71
14,2,288.74
13,7,345.45
49,0,716.63
11,4,259.22
46,5,784.64
33,10,638.58
37,1,578.87
30,1,473.65
20,6,429.17
47,3,757.25
33,5,586.52
35,8,680.39
31,0,451.12
42,4,705.66
41,7,702.31
31,7,594.82
22,9,493.34
18,10,466.51
28,2,465.18
35,10,666.47
36,0,513.88
35,5,618.11
39,9,728.9
18,2,315.43
25,6,481.33
30,1,465.93
22,10,505.64
50,3,774.03
43,2,644.25
15,3,294.71
29,2,493.68
48,1,756.16
15,9,394.04
26,7,514.79
13,10,396.44
48,10,872.8
43,1,651.48
18,3,313.94
35,8,639.04
29,1,468.09
35,7,620.11
35,1,561.73
46,6,759.8
28,8,557.1
47,6,793.96
40,5,679.81
41,3,664.28
27,0,426.98
11,3,240.11
46,4,744.27
23,0,364.4
33,5,575.5
11,10,377.06
40,2,599.45
45,9,829.41
14,1,248.27
20,6,422.33
20,3,382.81
10,9,336.53
45,2,692.09
26,3,475.46
38,2,579.66
23,7,486.96
28,0,424.33
43,4,677.24
28,4,468.01
23,7,477.68
41,9,791.35
50,6,840.1
26,9,564.96
37,3,618.58
31,10,624.18
15,8,392.31
12,6,309.29
11,8,325.1
49,1,757.02
24,2,419.21
41,7,716.6
19,3,359.93
42,9,758.62
24,7,497.46
11,10,347.51
36,1,566.78
30,8,593.52
20,6,411.94
23,10,528.98
12,3,264.62
13,7,330.54
48,2,761.58
41,1,650.89
49,2,748.07
46,2,704.34
50,0,747.7
21,10,480.3
42,2,653.26
26,8,544.04
25,4,445.4
49,2,729.08
30,8,597.97
12,2,215.96
15,1,245.68
41,1,584.73
43,10,814.47
25,6,489.77
11,8,328.93
28,4,508.67
13,2,253.37
21,1,333.42
48,10,880.46
45,9,833.55
50,0,717.5
15,5,320.9
32,9,627.62
44,8,764.65
49,1,752.41
47,3,737.01
16,8,410.85
12,6,304.8
44,5,746.92
15,9,417.42
25,3,441.98
39,8,730.15
12,2,243.16
16,9,385.32
25,6,486.34
20,0,330.77
27,5,505.34
23,6,455.39
15,7,343.73
24,4,449.7
34,7,614.25
41,2,627.22
32,10,656.92
21,3,363.51
48,10,875.67
31,10,634.04
45,1,666.08
41,7,743.7
38,10,723.11
12,4,290
41,5,686.87
20,9,455.37
14,7,347.53
43,3,684.63
50,6,830.65
24,6,458.84
13,5,283.81
10,10,349.2
28,3,467.91
18,4,335.35
12,3,248.38
42,2,647.99
22,10,475.11
23,3,405.64
50,10,902.51
24,1,396.42
38,9,721.89
28,6,512.99
24,9,515.11
41,6,694.87
41,4,668.47
22,8,457.85
20,1,319.25
38,10,741.45
39,5,661.91
39,10,742.12
27,5,523.94
16,1,279.12
14,6,323.94
29,10,617.21
48,5,784.69
22,6,464.59
28,10,586.33
37,3,596.76
27,10,560.48
12,10,372.93
14,9,402
48,7,818.66
48,2,747.92
47,10,863
15,6,367.33
18,5,381.96
37,10,701.9
20,2,341.55
44,8,772.81
17,0,280.12
48,2,743.94
28,9,581.52
45,4,724.14
22,2,374.35
46,1,711.12
32,8,614.51
36,8,662.19
11,6,304.57
26,3,452.2
33,7,600.25
15,9,419.65
30,9,586.48
33,10,635.28
12,3,222.2
39,9,739.77
34,3,556.01
16,3,307.87
31,4,542.34
42,1,637
26,9,523.88
22,2,350.75
30,3,502.89
36,5,626.62
36,4,573.83
30,4,528.36
36,8,678.33
24,9,539.42
23,8,492.47
11,5,277.07
45,8,807.07
31,0,473.71
29,5,524.8
15,8,379.74
28,8,571.16
18,10,445.53
43,6,730.51
42,3,663.02
44,2,673.63
49,7,842.9
19,10,489.21
42,4,677.47
16,0,261.17
22,1,348.55
19,8,447.62
34,3,559.24
14,6,334.69
35,4,599.22
11,5,258.19
35,3,576.43
35,2,558.57
29,6,552.13
28,4,477.5
15,0,232
40,10,771.49
39,9,721.18
30,5,530.1
21,1,351.7
37,3,601.19
14,4,328
22,2,383.89
35,7,644.42
16,3,325.97
28,8,559.1
42,5,708.73
23,0,345.91
41,0,579.61
14,1,233.89
11,9,339.71
23,4,410.5
43,5,732.33
43,1,668.88
11,10,357.26
43,6,734.98
29,9,569.51
19,4,365.37
24,10,529.21
15,10,419.95
28,0,451.63
13,0,229.52
45,7,765.08
32,4,577.06
14,3,299.16
46,1,703.35
26,5,450.9
15,2,267.68
50,3,786.97
47,10,869.42
12,6,286.3
45,0,718.17
20,5,361.69
35,9,670.46
29,0,442.11
31,3,512.05
33,8,625.22
45,8,809.14
22,6,430.89
21,1,318.76
26,1,421.41
22,8,475.97
45,1,685.8
27,9,572.02
27,2,449.8
26,0,415.64
34,0,485.84
33,9,629.08
36,6,645.23
44,4,714.71
36,10,718.17
32,10,632.93
38,6,678.86
11,3,231.97
31,7,569.3
42,6,718.86
19,0,306.75
49,2,739.58
29,0,434.54
10,7,273.31
16,2,311.25
47,9,852.85
32,8,600.51
38,8,708.36
24,2,404.17
40,1,599.3
28,7,550.32
21,9,473.16
15,4,327.2
43,3,687.08
25,7,519.82
42,6,716.35
15,1,269.29
30,9,609.55
24,1,396.19
45,6,769.03
38,5,651.81
41,3,660.64
34,4,600.48
29,7,571.62
43,0,632.85
47,3,766.95
38,7,686.17
39,4,640.39
32,0,490.55
27,10,575.64
44,3,705.51
12,9,337.4
46,5,751.7
39,6,702.44
13,2,268.42
14,1,238.74
43,0,628.5
15,10,435.85
42,3,704.64
18,8,408.34
43,5,702.47
10,1,235.35
17,1,297.44
29,9,592.8
50,0,741.14
17,8,427.07
10,1,193.12
14,8,385.89
30,3,504.69
23,7,481.58
32,3,520.5
39,7,700.56
28,10,610.01
32,7,597.55
41,1,649.24
39,9,770.91
32,7,614.13
20,3,364.27
18,3,341.45
36,6,633.49
47,5,810.68
48,6,763.62
25,2,423.21
15,5,331.65
39,8,717.2
29,2,454.63
20,0,323.24
43,6,740.81
15,6,364.88
34,4,587.85
21,5,430.73
48,8,825.64
15,9,392.13
47,6,796.88
38,4,640.08
21,2,355.59
12,7,342.19
38,8,690.82
16,7,351.79
17,7,396.04
30,2,501.97
23,3,424.16
11,5,259.81
44,3,700.28
22,4,392.07
29,10,618.67
25,9,539.22
36,6,653.71
47,6,803.12
42,3,666.89
26,6,502.69
15,3,269.37
22,10,515.54
21,7,460.53
20,7,418.86
42,7,707.96
37,7,647.16
28,7,527.3
25,7,520.61
21,4,398.05
22,10,489.43
29,3,502.34
25,9,501.25
11,0,190.29
45,6,782.69
15,8,372.87
48,2,763.58
32,10,674.93
20,7,414.48
11,0,176.72
30,6,542.28
30,8,595.93
25,0,402.53
33,0,520.14
49,0,745.49
13,3,286.14
39,0,600.1
42,4,694.45
11,10,340.68
18,6,377.11
23,8,496.11
33,3,575.25
10,0,205.59
13,8,321.11
28,7,531.49
28,3,501.29
41,5,678.04
45,6,741.8
17,4,351
41,9,783.99
14,2,297.02
19,9,457.99
46,1,710.79
42,6,732.4
16,8,391.73
50,8,817.42
43,3,701.41
28,9,570.13
33,4,581.15
46,3,722.6
43,7,729.48
40,1,634.68
44,7,770.72
26,2,488.43
45,3,731.73
47,4,777.73
46,3,743.46
10,10,330.95
35,6,620.44
28,4,511.9
33,1,533.83
46,2,724.74
16,6,345.2
41,7,751.27
